title,brand,series,is_refurbished,current_price,old_price,discount_percent,shipping_cost,is_free_shipping,rating,rating_num,operating_system,screen_size_inches,resolution,resolution_category,is_touchscreen,ram_capacity_gb,ram_type,storage_capacity_gb,storage_type,cpu_brand,cpu_series,cpu_model,cpu_cores,gpu_brand,gpu_type,gpu_model,is_ai_pc,has_backlit_keyboard,link
"Refurbished Dell Latitude 5421 Laptop Intel Core i5-11500H 2.9GHz 16GB Memory 512GB NVMe 14"" FHD Windows 11 Pro 64-bit Webcam",Dell,Latitude,1,446.99,446.99,0.0,0.0,1,,0,Windows 11 Pro,14.0,1920x1080,FHD (1080p),1,16,DDR4,512,NVMe PCIe SSD,Intel,Core I5,i5-11500H,6.0,Intel,Integrated,Iris Xe,0,0,https://www.newegg.com/dell-latitude-14-0-fhd-non-touch-screen-intel-core-i5-11500h-intel-iris-xe-graphics-16gb-memory-512gb-ssd-gray/p/N82E16834817472
"Lenovo IdeaPad Slim 5i - 16 Inch WUXGA (1920x1200) Touchscreen Laptop, Intel Core 7 240H, 16GB RAM - 1TB SSD, Backlit Keyboard, Windows 11 Home - Aluminum Chassis Blue (83J1002KUS)",Lenovo,IdeaPad,0,819.99,819.99,0.0,0.0,1,,0,Windows 11 Home,16.0,1920x1200,FHD+ (1200p),1,16,DDR4,1024,SSD,Intel,Other,Other,10.0,Intel,Integrated,Integrated Graphics,0,1,https://www.newegg.com/lenovo-ideapad-16-0-wuxga-touch-screen-intel-core-7-240h-integrated-graphics-16gb-memory-1tb-ssd-aluminum/p/1TS-000E-1E2X8
"Refurbished HP Chromebook Plus x360 14b-cd0023dx 14"" FHD Touch Intel Core i3-N305 up to 3.8 GHz 8GB RAM 256GB UFS Intel UHD Graphics ChromeOS Laptop - A4HB3UA",HP,Chromebook,1,239.99,239.99,0.0,0.0,1,,0,Chrome OS,14.0,1920x1080,FHD (1080p),1,8,DDR4,256,SSD,Intel,Core I3,N305,8.0,Intel,Integrated,UHD Graphics,0,1,https://www.newegg.com/hp-14-0-yes-intel-uhd-graphics-8gb-memory-256-gb-ssd/p/1TS-000D-1PCJ7
"Lenovo ThinkBook 16 Gen 9 Laptop 16"" WUXGA Touchscreen Intel core 7 240H (Beat i7-13650HX) Intel Graphics 16GB DDR5 RAM 1TB SSD Wi-Fi 6E BT5.3 FR Backlit KB Webcam HDMI 2.1 RJ45 Windows 11 Pro Grey",Lenovo,ThinkBook,0,1169.0,1169.0,0.0,0.0,1,,0,Windows 11 Pro,16.0,1920x1080,FHD (1080p),1,16,DDR5,1024,SSD,Intel,Other,i7-13650HX,,Intel,Integrated,Integrated Graphics,0,1,https://www.newegg.com/lenovo-16-0-wide-uxga-touch-screen-intel-core-7-240h-intel-graphics-16gb-memory-1-tb-ssd-gray/p/1TS-000E-1E2R4
"Lenovo IdeaPad 5 2-in-1 14Q8X9 14"" Touchscreen Notebook - Qualcomm Snapdragon X Plus X1P-42-100 (3.40 GHz) - 16GB - 1TB SSD - Windows 11 Home 64 - Qualcomm Adreno GPU - Wi-Fi 7 (83GH000AUS)",Lenovo,IdeaPad,0,964.99,964.99,0.0,0.0,1,,0,Windows 11 Home,14.0,1920x1080,FHD (1080p),1,16,DDR5,1024,SSD,Snapdragon,Other,Other,,Integrated / Other,Integrated,Integrated Graphics,0,0,https://www.newegg.com/lenovo-14-0-gray/p/1TS-000E-1D534
"Refurbished Dell Latitude 7480 14"" Full HD 1920 x 1080 Ultrabook- 6th Gen Intel Core i5-6300U 2.4GHz – 16 GB RAM DDR4 512 GB SSD, HDMI, DisplayPort via USB-C, Wi-Fi, Bluetooth, Windows 10 Pro",Dell,Latitude,1,202.78,202.78,0.0,0.0,1,,0,Windows 10 Pro,14.0,1920x1080,FHD (1080p),0,16,DDR4,512,SSD,Intel,Core I5,i5-6300U,,Intel,Integrated,Integrated Graphics,0,0,https://www.newegg.com/dell-7000-14-0-fhd-non-touch-screen-intel-core-i5-6300u-intel-hd-graphics-520-16gb-memory-512-gb-ssd-black/p/1TS-000A-0DYF2
"Microsoft Surface Pro Copilot+ PC Bundle - 13"" OLED PixelSense Flow (2880x1920) Touchscreen laptop, Qualcomm Snapdragon X Elite (12 core), 16GB DDR5 RAM - 1TB SSD, Windows 11 Home - Graphite",Microsoft,Surface Pro,0,1434.49,1434.49,0.0,0.0,1,,0,Windows 11 Home,13.0,2880x1920,QHD / 3K,1,16,DDR5,1024,SSD,Snapdragon,Other,Other,12.0,Integrated / Other,Integrated,Integrated Graphics,1,0,https://www.newegg.com/microsoft-surface-pro-11th-edition-13-0-pixelsense-touch-screen-qualcomm-snapdragon-x-elite-x1e-78-100-qualcomm-adreno-x1-85-16gb-ddr5-memory-1tb-ssd-graphite/p/1TS-0025-00FV2
"Refurbished Apple MacBook Pro Laptop Apple M1 8-Core CPU 8-Core GPU 8GB RAM 512GB SSD 13"" Space Gray MYD92LL/A (2020) - Good Condition",Apple,MacBook Pro,1,519.99,519.99,0.0,0.0,1,,0,macOS,13.0,1920x1080,FHD (1080p),0,8,DDR4,512,SSD,Apple,M1,M1,8.0,Apple,Integrated,Integrated Graphics,0,0,https://www.newegg.com/apple-13-3-8gb-memory-512-gb-ssd-space-gray/p/2SN-0001-037J5
"MSI VenturePro 16 A2RWETG-038US 16"" Touchscreen Notebook - Intel Core 9  270H (2.70 GHz) - 32GB DDR5 - 1TB NVMe SSD - NVIDIA GeForce RTX 5060 GPU - Windows 11 Home - Wi-Fi 6E (VENPRO16A2038)",MSI,VenturePro,0,1549.0,1549.0,0.0,0.0,1,,0,Windows 11 Home,16.0,1920x1200,FHD+ (1200p),1,32,DDR5,1024,NVMe PCIe SSD,Intel,Other,Other,14.0,NVIDIA,Dedicated,RTX 5060 Laptop GPU,0,1,https://www.newegg.com/msi-16-0-geforce-rtx-5060-laptop-gpu-intel-core-9-270h-fhd-32gb-ddr5-memory-1tb-nvme-ssd/p/N82E16834156950
"ASUS Vivobook S16 16"" OLED Laptop - Intel Core Ultra 9 285 Processor - 32GB RAM - 1TB SSD - 2880 x 1800 WQXGA+ Lumina OLED - Windows 11",Asus,VivoBook,0,1909.0,1909.0,0.0,0.0,1,,0,Windows 11 Home,16.0,2880x1800,QHD / 3K,0,32,DDR4,1024,SSD,Intel,Core Ultra 9,Intel Core Ultra 9 285,,Intel,Integrated,Integrated Graphics,0,0,https://www.newegg.com/asus-16-0-wqxga-32gb-memory-1-tb-ssd/p/1TS-001A-0BGS0
