title,link,current_price,old_price,discount,rating,rating_num,shipping,Best Seller Ranking,Series,AI Features,Operating System,Processor Name,Screen Size,Resolution,Refresh Rate,SSD,Memory,Memory Slot (Total),WiFi Generation,Bluetooth,USB,HDMI,Other port,Backlit Keyboard,Battery,First Listed on Newegg,Brand,Model,Part Number,Color,CPU Type,Number of Cores,CPU L2 Cache,CPU L3 Cache,Touchscreen,Wide Screen Support,Display Type,Panel,GPU/VPU,Video Memory,Graphic Type,Storage Spec,Memory Speed,Memory Spec,Memory Slot (Available),WLAN,Ethernet,Audio Ports,Speaker,Touchpad,Webcam,Style,Type,Usage,AC Adapter/Charger,Dimensions (W x D x H),Weight,Package Content,Neural Processing Unit (NPU),Display Features,Optical Drive Type,Thunderbolt,Audio,Card Reader,Battery Life,LAN,Keyboard,Cosmetic Condition,HDD,Core Name,Video Port,Turbo Frequency,Smart Cache,Max Memory Supported,Other Features,Release Year,CPU,Screen,Storage,Consumer Alert,Docking Connector,Software Included,Graphics Card,Communication,Other Input Devices,Virtual Reality Ready
"ASUS Vivobook V16 Gaming Laptop 16.0"" LCD WUXGA Display (Intel Core 7 240H, 32GB DDR5, 1TB PCIe SSD, NVIDIA GeForce RTX 5070, Backlit KB, WiFi 6, Webcam, Win 11 Pro) w/Dockztorm Wireless Mouse",https://www.newegg.com/asus-vivobook-16-0-no-geforce-rtx-5070-32gb-memory-1-tb-ssd-black/p/1TS-001A-0BRM5,"$1,974.24",,,,,Free Shipping,,VivoBook,,Windows 11 Pro,,"16.0""",1920x1200,,1 TB,32GB,,,Bluetooth 5.3,,1 x HDMI,,Backlit,,"June 10, 2026",ASUS,,,Black,Intel Core 7 Processors (Series 2),,,24MB Cache,No,,,,GeForce RTX 5070,,Dedicated Card,1TB PCIe SSD,DDR5,,,802.11ax  Wireless LAN,,1 x Headphone/Microphone Combo Jack,,,Yes,Standard,Gaming,,,,,,,,No,,,No,,,Standard,,No,,,5.2 GHz,,,,,,,,,,,,,,
"HP OmniBook 5 AI Powered Laptop 16.0"" Touchscreen IPS WUXGA Display (AMD Ryzen AI 7 350, 32GB LPDDR5X, 1TB SSD, AMD Radeon 860M, Backlit KB, WiFi 6, Webcam, Bluetooth 5.3, Win 11 Home)",https://www.newegg.com/hp-omnibook-5-16-0-yes-amd-radeon-860m-32gb-memory-1-tb-ssd-silver/p/1TS-000D-1PVK3,"$1,099.99",,,,,,,OmniBook 5,,Windows 11 Home,,"16.0""",1920x1200,,1TB,32GB,,,Bluetooth 5.3,,1 x HDMI,,Backlit,,"May 30, 2025",HP,,,Silver,Ryzen AI 7 350,,,16MB Cache,Yes,,,,AMD Radeon 860M,,Integrated Card,1TB PCIe SSD,LPDDR5X,,,802.11ax Wireless LAN,,1 x Headphone/Microphone Combo Jack,,,Yes,Standard,Gaming,,,,,,,,No,,,No,,,Standard,,No,,,5 GHz,,,,,,,,,,,,,,
"Refurbished Lenovo ThinkPad L15 Gen 3 Laptop AMD Ryzen 5 Pro 5675U 32GB RAM 512 GB SSD 15.5"" FHD Windows 11 Pro",https://www.newegg.com/lenovo-15-5-fhd-non-touch-screen-integrated-graphics-32gb-memory-512-gb-nvme-ssd-black/p/1TS-000E-1E4W8,$600.27,,,3.0,1.0,Free Shipping,#62 in All Laptop,,AI Ready,Windows 11 Pro,,"15.5""",1920 x 1080,60 Hz,512 GB NVMe,32GB,,Wi-Fi 6,Bluetooth 5.0,3 x USB 3.0,1 x HDMI,with USB PD,,Lithium Ion,"May 05, 2026",Lenovo,,,Black,AMD Ryzen 5,,,,Non-Touch Screen,Yes,FHD,,Integrated Graphics,,Integrated Card,,,,,802.11ac Wireless LAN,Intergrated 100/1000M,1 x Headphone/Microphone Combo Jack,Integrated Stereo Speakers,Yes,Yes,,Everyday Value,Everyday Value,,,,"1 x Unit, 1 x Power Adapter",,,,1 x Thunderbolt 4,Integrated Sound card,,Up to 5 Hours,10/100/1000Mbps,Standard,,,,1 x HDMI,,,,,,,,,,,,,,,
"Refurbished Apple MacBook Air Laptop Core i5 1.4GHz 4GB RAM 128GB SSD 11"" Silver MD711LL/B (2014) - Good Condition",https://www.newegg.com/apple-11-6-4gb-memory-128-gb-ssd-silver/p/2SN-0001-038V4,$123.97,,,,,Free Shipping,,,,MacOS,,"11.6""",,,128GB,4GB,,,Yes,,,,Backlit,,"May 28, 2025",Apple,MacBook Air,MD711LL/B,Silver,Intel Core i5,,,,,,,,,,,,,,,,,,,,,,Everyday Value,,,,,,,,,,,,Up to 12 Hours,,Standard,Grade C (Fair),,,,,,,,,,,,,,,,,,
"Refurbished Grade B DELL LATITUDE 7420 13.9"" FHD INTEL 11TH GEN CORE I5-1145G7 2.60 GHZ - 16GB RAM, 256GB SSD - Webcam, Bluetooth - Windows 11 Pro",https://www.newegg.com/dell-13-9-fhd-non-touch-screen-integrated-graphics-16gb-memory-256-gb-nvme-ssd-black/p/1TS-000A-15EJ6,$259.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Microsoft Surface Pro Copilot+ PC Bundle - 13"" OLED PixelSense Flow (2880x1920) Touchscreen laptop, Qualcomm Snapdragon X Elite (12 core), 16GB DDR5 RAM - 1TB SSD, Windows 11 Home - Graphite",https://www.newegg.com/microsoft-surface-pro-11th-edition-13-0-pixelsense-touch-screen-qualcomm-snapdragon-x-elite-x1e-78-100-qualcomm-adreno-x1-85-16gb-ddr5-memory-1tb-ssd-graphite/p/1TS-0025-00FV2,"$1,434.49",,,,,Free Shipping,#74 in All Laptop,Surface Pro 11th Edition,Copilot+ PC,Windows 11 Home,Qualcomm Snapdragon X Elite X1E-78-100,"13.0""",2880 x 1920,120 Hz,1TB,16GB DDR5,,Wi-Fi 7,Bluetooth 5.4,,,,,,"June 27, 2026",Microsoft,Surface Pro,,Graphite,Qualcomm Snapdragon X,,,,Touch Screen,Yes,PixelSense,OLED,Qualcomm Adreno X1-85,,Integrated Card,,,,,,,,,,,Convertible,Everyday Value,Everyday Value,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad T14 Business Laptop 14.0"" Touchscreen IPS WUXGA Display (Intel Ultra 7-255U, 32GB DDR5, 512GB PCIe SSD, Intel Graphics, Backlit KB, Fingerprint, 2 Thunderbolt 4, WiFi 6E, Win 11 Pro)",https://www.newegg.com/lenovo-thinkpad-14-0-yes-intel-graphics-32gb-memory-512-gb-ssd-black/p/1TS-000E-1DWA6,"$1,499.99",,,,,Free Shipping,#72 in All Laptop,ThinkPad,,Windows 11 Pro,,"14.0""",1920x1200,,512 GB,32GB,,,Bluetooth 5.4,,1 x HDMI,,Backlit,,"January 15, 2026",Lenovo,,,Black,Intel Core Ultra 7,,,12MB Cache,Yes,,,,Intel Graphics,,Integrated Card,512GB PCIe SSD,DDR5,,,802.11ax  Wireless LAN,,1 x Headphone/Microphone Combo Jack,,,Yes,Standard,Work / Business,,,,,,,,No,,,No,,,Standard,,No,,,5.2 GHz,,,,,,,,,,,,,,
"Refurbished Dell Latitude 7430 - 14 Inch FHD (1920x1080) Touchscreen Laptop, Intel Core i7-1265U Processor, 16GB RAM - 256GB SSD, Intel Iris Integrated Graphics, Backlit Keyboard, Windows 11 Pro",https://www.newegg.com/dell-latitude-14-0-fhd-touch-screen-intel-core-i7-1265u-integrated-graphics-16gb-memory-256gb-ssd/p/1TS-000A-15K20,$387.99,$399.99,,,,Free Shipping,,Latitude,,Windows 11 Home,Intel Core i7-1265U,"14.0""",1920 x 1080,,256GB,16GB,,,,,,,Backlit,,"May 04, 2026",DELL,Latitude 7430,,,Intel Core i7 12th Gen,,,,Touch Screen,,FHD,IPS,Integrated Graphics,,Integrated Card,,,,,,,,,,Yes,,Home / Personal,Everyday Value,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Pro 5i 16"" TouchScreen Laptop - Intel Core Ultra 9 386H Processor - NVIDIA GeForce RTX 5050 - 32GB RAM - 1TB SSD - Windows 11 Home",https://www.newegg.com/lenovo-ideapad-16-0-touch-screen-geforce-rtx-5050-laptop-gpu-32gb-memory-1tb-ssd/p/1TS-000E-1E8A6,"$2,797.00",,,,,Free Shipping,,IdeaPad,,Windows 11 Home,,"16.0""",2880 x 1800,,1TB,32GB,,Wi-Fi 7,Bluetooth 5.4,,,,,,"May 17, 2026",Lenovo,,,,,16-core (4P+8E+4LPE) Processor,,,Touch Screen,,,OLED,GeForce RTX 5050 Laptop GPU,,Dedicated Card,"One drive, up to 1TB M.2 2242 SSD",,32 GB x 1,,802.11be Wireless LAN,,,,,1080p FHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell 16 Plus Business 16"" FHD+ Touchscreen AMD Ryzen AI 7 350 (Beat Ultra 7 255HX) AMD Radeon Graphics 32GB DDR5 RAM 2TB SSD Wi-Fi 6E BT 5.3 HDMI Backlit KB FP Reader Copilot+ Windows 11 Pro Silver",https://www.newegg.com/dell-16-0-fhd-touch-screen-amd-ryzen-ai-7-350-amd-radeon-graphics-32gb-memory-2-tb-ssd-silver/p/1TS-000A-15HK2,"$1,299.00",,,,,Free Shipping,,,Copilot+ PC,Windows 11 Pro,AMD Ryzen AI 7 350,"16.0""",1920 x 1200,,2 TB,32GB,,Wi-Fi 6E,Bluetooth 5.3,1 x USB 3.2 Gen 2 Type-C,1 x HDMI 1.4,1x Headphone/Microphone combo jack (3.5mm),Backlit,4-cell Lithium Polymer,"April 22, 2026",DELL,,,Silver,AMD Ryzen AI 300 Series,8-core Processor,8MB,16 MB,Touch Screen,,FHD+,IPS,AMD Radeon Graphics,,Integrated Card,,DDR5 5600,,,802.11ax  Wireless LAN,,1 x Headphone/Microphone Combo Jack,Integrated Stereo Speakers,,Yes,Ultrabook,Work / Business,Business,,,4 - 4.9 lbs.,,,,,,1x Headphone/Microphone combo jack (3.5mm),,,10/100/1000Mbps,Full size with Keyboard light,,No,,1 x HDMI,,,,Fingerprint reader,,,,,,,,,,,
